id,key,value,type
82812466,power,tower,regular
82815325,railway,level_crossing,regular
82863928,railway,level_crossing,regular
82863928,source,bing,regular
82882150,highway,turning_circle,regular
82882215,highway,turning_circle,regular
82882323,direction,both,regular
82882323,highway,stop,regular
82882323,stop,all,regular
82882346,highway,traffic_signals,regular
82882351,highway,turning_circle,regular
82882357,highway,turning_circle,regular
82882367,highway,turning_circle,regular
82882428,highway,traffic_signals,regular
82882429,highway,traffic_signals,regular
82882478,highway,turning_circle,regular
82882489,highway,turning_circle,regular
82882955,highway,turning_circle,regular
82884141,highway,turning_circle,regular
82884615,highway,turning_circle,regular
82884710,highway,turning_circle,regular
82884833,railway,switch,regular
82884833,switch,default,railway
82884833,turnout_side,left,railway
82884833,source,bing,regular
82884846,railway,switch,regular
82884846,switch,default,railway
82884846,turnout_side,right,railway
82884846,source,bing,regular
82885029,railway,switch,regular
82885029,switch,default,railway
82885029,turnout_side,left,railway
82885029,source,bing,regular
82885048,railway,switch,regular
82885048,switch,wye,railway
82885048,turnout_side,left,railway
82885048,source,bing,regular
82885232,railway,switch,regular
82885232,switch,default,railway
82885232,turnout_side,right,railway
82885232,source,bing,regular
82885336,railway,level_crossing,regular
82885350,railway,level_crossing,regular
82885350,source,bing,regular
82885364,railway,level_crossing,regular
82885432,railway,level_crossing,regular
82885432,source,bing,regular
82885508,railway,level_crossing,regular
82885508,source,bing,regular
82885646,highway,turning_circle,regular
82885647,highway,turning_circle,regular
82885652,highway,turning_circle,regular
82885657,highway,turning_circle,regular
82885693,highway,turning_circle,regular
82885704,highway,turning_circle,regular
82886173,highway,turning_circle,regular
82886273,highway,turning_circle,regular
82887112,railway,level_crossing,regular
82892941,highway,turning_circle,regular
82893464,highway,turning_circle,regular
82893469,highway,turning_circle,regular
82897375,railway,level_crossing,regular
82897375,source,bing,regular
82899624,highway,turning_circle,regular
82901250,highway,turning_circle,regular
82902733,highway,turning_circle,regular
82903232,highway,turning_circle,regular
82903698,highway,turning_circle,regular
82903992,power,tower,regular
82905072,highway,turning_circle,regular
82906907,highway,turning_circle,regular
82907102,highway,turning_circle,regular
82907108,highway,turning_circle,regular
82907982,highway,turning_circle,regular
82910685,highway,turning_circle,regular
82911163,highway,turning_circle,regular
82911176,highway,turning_circle,regular
82911179,highway,turning_circle,regular
82911189,highway,turning_circle,regular
82911301,railway,level_crossing,regular
82911411,highway,turning_circle,regular
82911522,highway,turning_circle,regular
82911536,highway,turning_circle,regular
82911628,highway,turning_circle,regular
82911768,highway,turning_circle,regular
82911801,highway,turning_circle,regular
82911849,highway,turning_circle,regular
82911894,highway,turning_circle,regular
82911896,highway,turning_circle,regular
82912223,highway,turning_circle,regular
82912252,highway,turning_circle,regular
82912266,highway,turning_circle,regular
82912377,highway,traffic_signals,regular
82912480,highway,turning_circle,regular
82912721,highway,turning_circle,regular
82912725,highway,turning_circle,regular
82912731,highway,turning_circle,regular
82912733,highway,turning_circle,regular
82912741,highway,turning_circle,regular
82913361,highway,turning_circle,regular
82913371,railway,level_crossing,regular
82913374,highway,turning_circle,regular
82913552,highway,turning_circle,regular
82913804,highway,turning_circle,regular
82913805,highway,turning_circle,regular
82913813,highway,turning_circle,regular
82913916,highway,turning_circle,regular
82913989,highway,turning_circle,regular
82913998,highway,turning_circle,regular
82914044,highway,turning_circle,regular
82914153,highway,turning_circle,regular
82914195,railway,level_crossing,regular
82914195,source,bing,regular
82914196,railway,level_crossing,regular
82914196,source,bing,regular
82914198,railway,level_crossing,regular
82914198,source,bing,regular
82914200,railway,level_crossing,regular
82914200,source,bing,regular
82914202,railway,switch,regular
82914202,switch,default,railway
82914202,turnout_side,right,railway
82914202,source,bing,regular
82914205,railway,level_crossing,regular
82914205,source,bing,regular
82914231,railway,level_crossing,regular
82914231,source,bing,regular
82914234,railway,level_crossing,regular
82914234,source,bing,regular
82914256,railway,switch,regular
82914256,switch,default,railway
82914256,turnout_side,right,railway
82914256,source,bing,regular
82914257,railway,switch,regular
82914257,switch,default,railway
82914257,turnout_side,left,railway
82914257,source,bing,regular
82914267,railway,level_crossing,regular
82914269,railway,switch,regular
82914269,switch,default,railway
82914269,turnout_side,right,railway
82914269,source,bing,regular
82914321,railway,level_crossing,regular
82914325,railway,level_crossing,regular
82914333,railway,level_crossing,regular
82914335,railway,level_crossing,regular
82914336,railway,level_crossing,regular
82914356,railway,level_crossing,regular
82914418,railway,level_crossing,regular
82914418,source,bing,regular
82914454,railway,level_crossing,regular
82914457,railway,level_crossing,regular
82914471,railway,level_crossing,regular
82914476,railway,level_crossing,regular
82914489,railway,level_crossing,regular
82914529,railway,level_crossing,regular
82914586,railway,level_crossing,regular
82914590,railway,level_crossing,regular
82914592,railway,level_crossing,regular
82914594,railway,level_crossing,regular
82914598,railway,level_crossing,regular
82914601,railway,level_crossing,regular
82914619,railway,level_crossing,regular
82914620,railway,level_crossing,regular
82914645,railway,level_crossing,regular
82914646,railway,level_crossing,regular
82914647,railway,level_crossing,regular
82914653,railway,level_crossing,regular
82914657,railway,level_crossing,regular
82914671,railway,level_crossing,regular
82914681,railway,level_crossing,regular
82914684,railway,level_crossing,regular
82914686,railway,level_crossing,regular
